ID,Sales Person,Geo,Product,Date,Amount,Customers,Boxes
881,Ches Bonnell,UK,Orange Choco,3/30/2021,"$4,767 ",232,434
882,Wilone O'Kielt,India,Caramel Stuffed Bars,3/30/2021,"$20,076 ",29,670
883,Camilla Castle,New Zealand,Eclairs,3/30/2021,"$2,583 ",206,185
884,Oby Sorrel,New Zealand,Orange Choco,3/30/2021,"$14,210 ",39,2030
885,Barr Faughny,Canada,Baker's Choco Chips,3/30/2021,"$4,403 ",25,315
886,Gunar Cockshoot,Australia,Spicy Special Slims,3/30/2021,"$12,985 ",279,619
887,Dotty Strutley,Canada,85% Dark Bars,3/30/2021,"$1,358 ",63,68
888,Barr Faughny,India,Baker's Choco Chips,3/30/2021,$203 ,330,19
889,Curtice Advani,Australia,Eclairs,3/30/2021,"$1,281 ",275,99
890,Jehu Rudeforth,Australia,Organic Choco Syrup,3/30/2021,"$13,475 ",119,539
891,Beverie Moffet,UK,White Choc,3/30/2021,"$1,547 ",200,119
892,Wilone O'Kielt,India,Almond Choco,3/31/2021,"$6,013 ",217,317
893,Oby Sorrel,Australia,70% Dark Bites,3/31/2021,"$10,703 ",21,1071
894,Brien Boise,Canada,After Nines,3/31/2021,"$7,630 ",236,306
895,Mallorie Waber,USA,Eclairs,3/31/2021,"$5,369 ",251,384
896,Gunar Cockshoot,Australia,Choco Coated Almonds,3/31/2021,"$7,917 ",115,360
897,Dennison Crosswaite,Australia,Eclairs,3/31/2021,$259 ,116,17
898,Brien Boise,USA,Organic Choco Syrup,4/1/2021,"$3,115 ",22,112
899,Dotty Strutley,UK,Eclairs,4/1/2021,"$10,731 ",117,537
900,Madelene Upcott,UK,Eclairs,4/1/2021,"$2,352 ",21,181
901,Gunar Cockshoot,USA,99% Dark & Pure,4/1/2021,"$5,138 ",51,303
902,Rafaelita Blaksland,India,Orange Choco,4/1/2021,"$1,428 ",194,102
903,Kaine Padly,Australia,85% Dark Bars,4/1/2021,"$3,598 ",17,157
904,Wilone O'Kielt,Australia,Eclairs,4/1/2021,"$10,528 ",21,555
905,Kelci Walkden,Canada,After Nines,4/2/2021,"$2,100 ",242,70
906,Mallorie Waber,India,Milk Bars,4/2/2021,"$6,797 ",218,262
907,Dotty Strutley,USA,Caramel Stuffed Bars,4/2/2021,"$6,202 ",52,249
908,Gigi Bohling,Australia,Milk Bars,4/2/2021,"$8,001 ",4,348
909,Ches Bonnell,USA,Mint Chip Choco,4/2/2021,"$13,832 ",294,814
910,Jan Morforth,USA,70% Dark Bites,4/2/2021,"$1,568 ",181,121
911,Jan Morforth,UK,Drinking Coco,4/2/2021,"$3,129 ",127,112
912,Gigi Bohling,Australia,After Nines,4/2/2021,"$6,944 ",2,278
913,Dotty Strutley,UK,Organic Choco Syrup,4/2/2021,"$7,672 ",17,265
914,Ches Bonnell,UK,99% Dark & Pure,4/2/2021,"$4,137 ",200,197
915,Dotty Strutley,USA,Almond Choco,4/2/2021,"$1,365 ",155,72
916,Karlen McCaffrey,New Zealand,Raspberry Choco,4/2/2021,"$7,238 ",381,453
917,Dotty Strutley,New Zealand,Almond Choco,4/2/2021,"$10,500 ",355,457
918,Madelene Upcott,USA,Smooth Sliky Salty,4/2/2021,"$6,790 ",129,453
919,Dotty Strutley,India,70% Dark Bites,4/2/2021,"$7,203 ",63,515
920,Jehu Rudeforth,India,Baker's Choco Chips,4/2/2021,"$6,202 ",86,443
921,Dennison Crosswaite,USA,White Choc,4/5/2021,"$8,351 ",1,696
922,Roddy Speechley,India,70% Dark Bites,4/5/2021,$980 ,437,109
923,Husein Augar,Australia,85% Dark Bars,4/5/2021,"$12,908 ",182,562
924,Andria Kimpton,Canada,70% Dark Bites,4/5/2021,"$4,473 ",302,320
925,Wilone O'Kielt,India,Manuka Honey Choco,4/6/2021,"$3,066 ",155,93
926,Marney O'Breen,India,Drinking Coco,4/6/2021,"$4,053 ",329,177
927,Wilone O'Kielt,UK,99% Dark & Pure,4/6/2021,"$3,024 ",155,152
928,Jan Morforth,Australia,Organic Choco Syrup,4/7/2021,"$2,100 ",147,68
929,Oby Sorrel,Australia,Spicy Special Slims,4/7/2021,"$2,555 ",156,112
930,Andria Kimpton,UK,Organic Choco Syrup,4/7/2021,"$6,559 ",208,243
931,Beverie Moffet,Canada,Eclairs,4/7/2021,"$8,176 ",183,390
932,Wilone O'Kielt,UK,Almond Choco,4/7/2021,"$17,675 ",197,884
933,Madelene Upcott,Australia,Baker's Choco Chips,4/7/2021,"$11,004 ",175,1223
934,Camilla Castle,New Zealand,Milk Bars,4/7/2021,"$2,233 ",292,77
935,Gigi Bohling,USA,Milk Bars,4/7/2021,"$16,359 ",14,712
936,Curtice Advani,UK,70% Dark Bites,4/7/2021,"$3,192 ",21,228
937,Dotty Strutley,Canada,Eclairs,4/7/2021,"$5,313 ",275,380
938,Beverie Moffet,Canada,Raspberry Choco,4/7/2021,"$1,841 ",223,97
939,Dennison Crosswaite,UK,Spicy Special Slims,4/7/2021,"$9,884 ",13,396
940,Wilone O'Kielt,New Zealand,White Choc,4/7/2021,"$3,066 ",268,205
941,Andria Kimpton,Canada,Manuka Honey Choco,4/7/2021,"$11,207 ",254,362
942,Husein Augar,India,50% Dark Bites,4/7/2021,"$6,321 ",86,452
943,Brien Boise,India,Orange Choco,4/7/2021,"$5,299 ",62,663
944,Dennison Crosswaite,Australia,Choco Coated Almonds,4/8/2021,"$11,578 ",63,552
945,Camilla Castle,India,99% Dark & Pure,4/8/2021,"$4,298 ",201,239
946,Marney O'Breen,Australia,Baker's Choco Chips,4/8/2021,"$9,548 ",17,682
947,Brien Boise,New Zealand,Spicy Special Slims,4/8/2021,"$5,663 ",25,236
948,Brien Boise,UK,Spicy Special Slims,4/8/2021,$329 ,260,15
949,Brien Boise,New Zealand,Mint Chip Choco,4/8/2021,"$9,275 ",165,489
950,Karlen McCaffrey,Australia,After Nines,4/8/2021,$77 ,133,3
951,Brien Boise,India,Raspberry Choco,4/8/2021,"$4,256 ",110,224
952,Van Tuxwell,UK,Almond Choco,4/9/2021,"$4,018 ",413,237
953,Kelci Walkden,UK,Mint Chip Choco,4/9/2021,"$6,699 ",138,479
954,Roddy Speechley,USA,85% Dark Bars,4/9/2021,"$4,571 ",17,241
955,Gigi Bohling,Australia,85% Dark Bars,4/9/2021,"$4,193 ",79,200
956,Madelene Upcott,USA,Orange Choco,4/9/2021,$392 ,175,28
957,Husein Augar,UK,Almond Choco,4/9/2021,"$3,192 ",18,146
958,Gigi Bohling,Canada,Peanut Butter Cubes,4/9/2021,$154 ,48,7
959,Curtice Advani,UK,Drinking Coco,4/9/2021,"$5,502 ",112,212
960,Dotty Strutley,UK,Orange Choco,4/9/2021,"$4,389 ",365,439
961,Ches Bonnell,Australia,99% Dark & Pure,4/9/2021,"$12,215 ",120,764
962,Jan Morforth,UK,Orange Choco,4/9/2021,"$1,960 ",50,140
963,Van Tuxwell,India,Fruit & Nut Bars,4/9/2021,$994 ,389,77
964,Beverie Moffet,New Zealand,Spicy Special Slims,4/9/2021,"$3,731 ",41,150
965,Jehu Rudeforth,USA,Peanut Butter Cubes,4/12/2021,"$11,851 ",45,456
966,Madelene Upcott,New Zealand,Manuka Honey Choco,4/12/2021,"$7,798 ",77,289
967,Brien Boise,New Zealand,99% Dark & Pure,4/12/2021,$658 ,82,32
968,Madelene Upcott,India,Baker's Choco Chips,4/12/2021,"$18,963 ",191,1355
969,Brien Boise,India,99% Dark & Pure,4/12/2021,$574 ,383,34
970,Karlen McCaffrey,Canada,Manuka Honey Choco,4/12/2021,$763 ,47,28
971,Marney O'Breen,Canada,50% Dark Bites,4/12/2021,"$1,295 ",218,108
972,Karlen McCaffrey,USA,Spicy Special Slims,4/12/2021,"$1,281 ",349,61
973,Beverie Moffet,Canada,Baker's Choco Chips,4/12/2021,"$6,657 ",364,606
974,Marney O'Breen,Canada,Mint Chip Choco,4/12/2021,"$1,533 ",129,110
975,Mallorie Waber,UK,99% Dark & Pure,4/12/2021,"$2,534 ",36,121
976,Van Tuxwell,USA,White Choc,4/12/2021,"$3,808 ",74,224
977,Andria Kimpton,New Zealand,99% Dark & Pure,4/12/2021,"$7,637 ",90,425
978,Karlen McCaffrey,Canada,50% Dark Bites,4/13/2021,"$5,397 ",37,416
979,Barr Faughny,Australia,Organic Choco Syrup,4/13/2021,"$5,649 ",97,202
980,Oby Sorrel,Canada,Drinking Coco,4/13/2021,"$2,996 ",136,116
981,Wilone O'Kielt,Australia,Organic Choco Syrup,4/13/2021,"$2,247 ",351,87
982,Andria Kimpton,USA,Orange Choco,4/13/2021,"$1,092 ",136,84
983,Jan Morforth,India,Mint Chip Choco,4/13/2021,"$4,368 ",23,292
984,Barr Faughny,Canada,White Choc,4/13/2021,$868 ,90,87
985,Kaine Padly,USA,Milk Bars,4/13/2021,"$8,729 ",35,364
986,Jan Morforth,USA,99% Dark & Pure,4/13/2021,"$2,065 ",17,130
987,Kaine Padly,New Zealand,99% Dark & Pure,4/13/2021,"$6,293 ",48,274
988,Gigi Bohling,New Zealand,70% Dark Bites,4/13/2021,"$7,602 ",247,761
989,Marney O'Breen,Canada,Almond Choco,4/13/2021,"$10,150 ",223,598
990,Brien Boise,UK,Almond Choco,4/13/2021,"$11,081 ",311,739
991,Dotty Strutley,USA,Raspberry Choco,4/13/2021,$588 ,41,27
992,Jehu Rudeforth,UK,70% Dark Bites,4/13/2021,"$3,710 ",129,413
993,Roddy Speechley,New Zealand,Raspberry Choco,4/14/2021,$371 ,121,27
994,Mallorie Waber,New Zealand,85% Dark Bars,4/14/2021,"$2,254 ",69,119
995,Karlen McCaffrey,Australia,Peanut Butter Cubes,4/14/2021,"$2,345 ",70,112
996,Barr Faughny,Australia,50% Dark Bites,4/14/2021,"$18,473 ",6,2053
997,Wilone O'Kielt,USA,Organic Choco Syrup,4/14/2021,"$1,680 ",26,58
998,Rafaelita Blaksland,USA,85% Dark Bars,4/14/2021,"$4,508 ",16,215
999,Dennison Crosswaite,Australia,Raspberry Choco,4/15/2021,"$8,463 ",284,385
1000,Beverie Moffet,India,Baker's Choco Chips,4/15/2021,$931 ,269,117
1001,Jan Morforth,Canada,Eclairs,4/15/2021,"$12,460 ",197,623
1002,Dennison Crosswaite,Australia,Milk Bars,4/15/2021,$868 ,78,37
1003,Mallorie Waber,UK,Manuka Honey Choco,4/15/2021,$301 ,117,13
1004,Brien Boise,India,Baker's Choco Chips,4/15/2021,$434 ,116,37
1005,Rafaelita Blaksland,UK,Peanut Butter Cubes,4/15/2021,"$2,058 ",2,115
1006,Camilla Castle,Canada,White Choc,4/15/2021,"$9,597 ",167,873
1007,Marney O'Breen,India,Almond Choco,4/16/2021,"$13,314 ",198,784
1008,Mallorie Waber,UK,Baker's Choco Chips,4/16/2021,$630 ,106,70
1009,Wilone O'Kielt,USA,Raspberry Choco,4/16/2021,"$8,918 ",31,446
1010,Kelci Walkden,India,Manuka Honey Choco,4/16/2021,"$7,133 ",446,223
1011,Van Tuxwell,Australia,Fruit & Nut Bars,4/16/2021,"$1,638 ",106,97
1012,Marney O'Breen,India,50% Dark Bites,4/16/2021,"$8,253 ",262,551
1013,Dennison Crosswaite,India,Milk Bars,4/16/2021,"$5,950 ",30,192
1014,Jan Morforth,New Zealand,50% Dark Bites,4/16/2021,"$7,000 ",5,875
1015,Kelci Walkden,Canada,Organic Choco Syrup,4/16/2021,"$2,030 ",162,89
1016,Van Tuxwell,India,Almond Choco,4/16/2021,"$8,337 ",306,439
1017,Gunar Cockshoot,India,Milk Bars,4/16/2021,"$1,876 ",171,79
1018,Andria Kimpton,Canada,Eclairs,4/16/2021,"$9,352 ",293,446
1019,Dennison Crosswaite,India,50% Dark Bites,4/16/2021,"$5,621 ",154,625
1020,Gunar Cockshoot,India,Orange Choco,4/16/2021,"$6,062 ",12,674
1021,Rafaelita Blaksland,USA,Raspberry Choco,4/16/2021,"$5,054 ",154,266
1022,Brien Boise,USA,After Nines,4/16/2021,"$7,581 ",239,237
1023,Jan Morforth,USA,Spicy Special Slims,4/16/2021,"$7,763 ",125,353
1024,Dotty Strutley,Australia,White Choc,4/16/2021,"$9,387 ",181,626
1025,Barr Faughny,Canada,85% Dark Bars,4/16/2021,$966 ,163,57
1026,Karlen McCaffrey,India,Almond Choco,4/16/2021,"$5,278 ",27,278
1027,Beverie Moffet,New Zealand,White Choc,4/16/2021,"$18,354 ",275,1669
1028,Marney O'Breen,India,Spicy Special Slims,4/16/2021,"$1,330 ",161,61
1029,Roddy Speechley,Canada,Eclairs,4/16/2021,"$1,155 ",91,83
1030,Rafaelita Blaksland,USA,Orange Choco,4/16/2021,"$4,669 ",101,667
1031,Ches Bonnell,Canada,Fruit & Nut Bars,4/16/2021,"$4,676 ",25,293
1032,Husein Augar,USA,After Nines,4/16/2021,$602 ,19,21
1033,Jehu Rudeforth,Australia,99% Dark & Pure,4/19/2021,"$13,090 ",133,770
1034,Kelci Walkden,Australia,Drinking Coco,4/19/2021,"$11,928 ",159,459
1035,Andria Kimpton,Australia,After Nines,4/19/2021,"$4,634 ",244,145
1036,Dennison Crosswaite,UK,Smooth Sliky Salty,4/19/2021,"$5,292 ",72,252
1037,Beverie Moffet,UK,Peanut Butter Cubes,4/19/2021,"$9,065 ",56,378
1038,Wilone O'Kielt,UK,Spicy Special Slims,4/19/2021,"$12,299 ",338,560
1039,Husein Augar,New Zealand,Manuka Honey Choco,4/19/2021,"$6,818 ",172,273
1040,Dennison Crosswaite,New Zealand,Smooth Sliky Salty,4/19/2021,"$3,773 ",81,252
1041,Jan Morforth,UK,50% Dark Bites,4/19/2021,"$5,138 ",82,367
1042,Andria Kimpton,Australia,Smooth Sliky Salty,4/19/2021,"$4,557 ",20,269
1043,Barr Faughny,Australia,Almond Choco,4/19/2021,"$2,751 ",128,138
1044,Madelene Upcott,Australia,70% Dark Bites,4/19/2021,"$10,906 ",8,779
1045,Oby Sorrel,USA,Choco Coated Almonds,4/19/2021,"$5,621 ",7,256
1046,Jan Morforth,USA,85% Dark Bars,4/20/2021,"$2,471 ",64,155
1047,Gigi Bohling,USA,White Choc,4/20/2021,"$6,139 ",9,410
1048,Karlen McCaffrey,USA,Drinking Coco,4/20/2021,"$2,807 ",151,128
1049,Madelene Upcott,Australia,Raspberry Choco,4/20/2021,"$8,169 ",142,454
1050,Jan Morforth,Australia,Mint Chip Choco,4/20/2021,"$8,785 ",280,586
1051,Barr Faughny,New Zealand,Peanut Butter Cubes,4/20/2021,"$5,628 ",33,256
1052,Husein Augar,USA,White Choc,4/20/2021,"$1,302 ",7,77
1053,Madelene Upcott,Australia,Peanut Butter Cubes,4/20/2021,"$9,282 ",188,387
1054,Wilone O'Kielt,USA,Manuka Honey Choco,4/20/2021,"$4,046 ",96,162
1055,Jehu Rudeforth,Canada,Drinking Coco,4/20/2021,"$10,605 ",169,442
1056,Curtice Advani,India,50% Dark Bites,4/20/2021,"$5,929 ",25,539
1057,Ches Bonnell,Canada,Manuka Honey Choco,4/20/2021,"$2,611 ",175,105
1058,Gunar Cockshoot,India,Baker's Choco Chips,4/20/2021,"$7,686 ",51,769
1059,Kaine Padly,USA,White Choc,4/20/2021,"$2,786 ",98,164
1060,Jehu Rudeforth,India,70% Dark Bites,4/20/2021,"$4,123 ",247,516
1061,Rafaelita Blaksland,UK,Choco Coated Almonds,4/20/2021,"$1,477 ",111,78
1062,Gigi Bohling,UK,Caramel Stuffed Bars,4/20/2021,"$12,040 ",255,416
1063,Jan Morforth,UK,Fruit & Nut Bars,4/20/2021,"$4,340 ",277,310
1064,Kelci Walkden,New Zealand,Choco Coated Almonds,4/20/2021,"$2,639 ",526,126
1065,Dotty Strutley,New Zealand,Orange Choco,4/21/2021,"$7,931 ",377,1322
1066,Jan Morforth,New Zealand,Drinking Coco,4/21/2021,"$1,078 ",298,45
1067,Beverie Moffet,Australia,85% Dark Bars,4/21/2021,"$8,680 ",429,362
1068,Madelene Upcott,New Zealand,99% Dark & Pure,4/21/2021,"$8,967 ",15,427
1069,Dotty Strutley,USA,After Nines,4/21/2021,"$12,075 ",258,465
1070,Gigi Bohling,UK,Fruit & Nut Bars,4/21/2021,"$4,396 ",68,294
1071,Husein Augar,New Zealand,Organic Choco Syrup,4/21/2021,"$2,877 ",84,96
1072,Dotty Strutley,New Zealand,Raspberry Choco,4/21/2021,"$1,659 ",291,104
1073,Marney O'Breen,Australia,70% Dark Bites,4/21/2021,$616 ,30,42
1074,Ches Bonnell,UK,Almond Choco,4/21/2021,"$7,021 ",124,469
1075,Van Tuxwell,USA,70% Dark Bites,4/21/2021,"$3,255 ",119,296
1076,Oby Sorrel,Canada,Baker's Choco Chips,4/21/2021,"$5,516 ",269,613
1077,Jehu Rudeforth,UK,White Choc,4/21/2021,"$18,039 ",148,1289
1078,Husein Augar,UK,Manuka Honey Choco,4/21/2021,"$12,593 ",254,394
1079,Madelene Upcott,New Zealand,Organic Choco Syrup,4/21/2021,"$1,981 ",28,67
1080,Gigi Bohling,USA,Raspberry Choco,4/21/2021,"$6,552 ",112,410
1081,Ches Bonnell,USA,Raspberry Choco,4/21/2021,"$10,682 ",213,629
1082,Marney O'Breen,UK,70% Dark Bites,4/21/2021,"$11,046 ",156,789
1083,Jehu Rudeforth,USA,Mint Chip Choco,4/21/2021,"$4,263 ",140,225
1084,Barr Faughny,UK,Orange Choco,4/21/2021,"$5,558 ",440,464
1085,Van Tuxwell,Canada,Manuka Honey Choco,4/22/2021,"$4,214 ",155,128
1086,Andria Kimpton,India,85% Dark Bars,4/22/2021,"$7,301 ",46,406
1087,Wilone O'Kielt,Canada,70% Dark Bites,4/22/2021,"$4,473 ",179,373
1088,Brien Boise,New Zealand,After Nines,4/22/2021,"$11,081 ",349,462
1089,Roddy Speechley,New Zealand,Mint Chip Choco,4/22/2021,"$1,120 ",274,75
1090,Madelene Upcott,Canada,99% Dark & Pure,4/22/2021,"$10,297 ",48,430
1091,Oby Sorrel,UK,50% Dark Bites,4/22/2021,"$1,869 ",343,234
1092,Brien Boise,India,85% Dark Bars,4/22/2021,"$12,229 ",182,644
1093,Marney O'Breen,USA,Raspberry Choco,4/22/2021,"$7,707 ",173,482
1094,Dennison Crosswaite,USA,Manuka Honey Choco,4/22/2021,"$1,351 ",150,55
1095,Karlen McCaffrey,India,Organic Choco Syrup,4/22/2021,"$7,035 ",185,252
1096,Barr Faughny,New Zealand,Drinking Coco,4/22/2021,"$3,178 ",323,114
1097,Brien Boise,New Zealand,70% Dark Bites,4/22/2021,"$3,668 ",336,408
1098,Kaine Padly,Canada,Orange Choco,4/22/2021,"$15,295 ",160,1700
1099,Madelene Upcott,USA,Manuka Honey Choco,4/22/2021,"$9,667 ",227,323
1100,Oby Sorrel,Australia,Almond Choco,4/22/2021,"$7,308 ",171,488
1101,Kaine Padly,USA,Raspberry Choco,4/22/2021,"$6,888 ",18,328
1102,Van Tuxwell,India,99% Dark & Pure,4/22/2021,"$1,085 ",183,46
1103,Jan Morforth,New Zealand,Peanut Butter Cubes,4/22/2021,"$3,549 ",492,148
1104,Kelci Walkden,New Zealand,Orange Choco,4/23/2021,$245 ,365,21
1105,Wilone O'Kielt,Australia,Choco Coated Almonds,4/23/2021,$525 ,166,24
1106,Camilla Castle,New Zealand,Manuka Honey Choco,4/23/2021,"$9,373 ",200,313
1107,Dennison Crosswaite,USA,99% Dark & Pure,4/23/2021,"$3,822 ",155,225
1108,Dotty Strutley,India,Mint Chip Choco,4/23/2021,"$4,326 ",123,206
1109,Mallorie Waber,Australia,Eclairs,4/23/2021,$427 ,428,23
1110,Oby Sorrel,Canada,Almond Choco,4/23/2021,"$12,236 ",61,816
1111,Gigi Bohling,New Zealand,85% Dark Bars,4/23/2021,"$4,655 ",124,259
1112,Husein Augar,New Zealand,99% Dark & Pure,4/23/2021,"$1,246 ",359,78
1113,Kaine Padly,New Zealand,Caramel Stuffed Bars,4/23/2021,"$11,291 ",206,452
1114,Gigi Bohling,India,50% Dark Bites,4/26/2021,"$5,530 ",45,395
1115,Gunar Cockshoot,Canada,White Choc,4/26/2021,"$7,658 ",233,851
1116,Rafaelita Blaksland,USA,Mint Chip Choco,4/26/2021,"$1,204 ",199,67
1117,Mallorie Waber,Canada,Organic Choco Syrup,4/26/2021,"$7,238 ",19,250
1118,Gunar Cockshoot,Australia,After Nines,4/26/2021,"$2,359 ",284,91
1119,Marney O'Breen,USA,Mint Chip Choco,4/26/2021,"$4,676 ",96,234
1120,Beverie Moffet,USA,Choco Coated Almonds,4/26/2021,"$4,893 ",229,233
1121,Karlen McCaffrey,UK,Choco Coated Almonds,4/26/2021,"$5,152 ",133,258
1122,Andria Kimpton,Australia,Manuka Honey Choco,4/27/2021,"$3,808 ",376,142
1123,Andria Kimpton,Canada,Peanut Butter Cubes,4/27/2021,"$6,538 ",182,273
1124,Dotty Strutley,UK,White Choc,4/27/2021,"$3,486 ",295,249
1125,Barr Faughny,Australia,After Nines,4/27/2021,"$4,865 ",94,174
1126,Van Tuxwell,UK,White Choc,4/27/2021,"$4,606 ",74,384
1127,Jehu Rudeforth,New Zealand,Caramel Stuffed Bars,4/27/2021,$35 ,380,2
1128,Gunar Cockshoot,UK,Smooth Sliky Salty,4/27/2021,"$6,069 ",304,304
1129,Barr Faughny,India,Caramel Stuffed Bars,4/27/2021,$21 ,117,1
1130,Gigi Bohling,New Zealand,Milk Bars,4/27/2021,"$8,071 ",16,299
1131,Husein Augar,USA,70% Dark Bites,4/27/2021,"$2,716 ",267,194
1132,Kelci Walkden,India,Orange Choco,4/27/2021,"$7,574 ",136,842
1133,Oby Sorrel,UK,Mint Chip Choco,4/27/2021,$931 ,48,52
1134,Mallorie Waber,New Zealand,Raspberry Choco,4/27/2021,"$9,499 ",141,500
1135,Van Tuxwell,India,Orange Choco,4/27/2021,$350 ,167,25
1136,Barr Faughny,UK,Almond Choco,4/27/2021,$371 ,437,20
1137,Karlen McCaffrey,UK,Caramel Stuffed Bars,4/27/2021,"$10,367 ",156,432
1138,Andria Kimpton,Canada,85% Dark Bars,4/27/2021,"$9,597 ",129,600
1139,Rafaelita Blaksland,Australia,99% Dark & Pure,4/27/2021,"$2,443 ",379,102
1140,Wilone O'Kielt,UK,Manuka Honey Choco,4/27/2021,"$3,556 ",75,123
1141,Rafaelita Blaksland,New Zealand,Drinking Coco,4/27/2021,"$2,457 ",261,82
1142,Wilone O'Kielt,UK,White Choc,4/27/2021,"$16,170 ",71,952
1143,Gigi Bohling,New Zealand,Spicy Special Slims,4/27/2021,"$8,456 ",178,302
1144,Ches Bonnell,New Zealand,Mint Chip Choco,4/27/2021,$28 ,147,2
1145,Dennison Crosswaite,USA,85% Dark Bars,4/27/2021,"$10,794 ",118,450
1146,Madelene Upcott,New Zealand,Choco Coated Almonds,4/27/2021,"$7,539 ",10,444
1147,Barr Faughny,UK,Caramel Stuffed Bars,4/28/2021,"$2,982 ",102,120
1148,Madelene Upcott,USA,Mint Chip Choco,4/28/2021,"$6,237 ",73,347
1149,Karlen McCaffrey,Canada,White Choc,4/28/2021,"$11,564 ",28,1285
1150,Kelci Walkden,New Zealand,Mint Chip Choco,4/28/2021,$105 ,73,7
1151,Gunar Cockshoot,India,Organic Choco Syrup,4/29/2021,"$10,402 ",33,417
1152,Karlen McCaffrey,Australia,Fruit & Nut Bars,4/29/2021,"$20,993 ",411,1235
1153,Kaine Padly,UK,99% Dark & Pure,4/29/2021,"$7,658 ",190,383
1154,Camilla Castle,Canada,Mint Chip Choco,4/29/2021,"$1,981 ",235,105
1155,Camilla Castle,Canada,Orange Choco,4/29/2021,"$4,816 ",64,402
1156,Andria Kimpton,India,Peanut Butter Cubes,4/29/2021,"$3,661 ",287,147
1157,Andria Kimpton,India,Spicy Special Slims,4/29/2021,"$2,688 ",580,128
1158,Barr Faughny,Australia,Manuka Honey Choco,4/29/2021,"$2,534 ",159,80
1159,Ches Bonnell,UK,Mint Chip Choco,4/29/2021,"$1,820 ",81,91
1160,Jan Morforth,USA,Choco Coated Almonds,4/29/2021,"$5,432 ",107,388
1161,Kelci Walkden,USA,99% Dark & Pure,4/30/2021,"$7,189 ",117,400
1162,Jan Morforth,New Zealand,Milk Bars,4/30/2021,"$6,188 ",18,207
1163,Curtice Advani,USA,Caramel Stuffed Bars,4/30/2021,"$3,283 ",260,150
1164,Mallorie Waber,Canada,50% Dark Bites,4/30/2021,"$6,524 ",275,502
1165,Kaine Padly,Australia,Manuka Honey Choco,4/30/2021,"$5,180 ",32,192
1166,Andria Kimpton,Australia,Baker's Choco Chips,4/30/2021,"$12,838 ",241,803
1167,Dennison Crosswaite,New Zealand,Milk Bars,4/30/2021,"$4,648 ",114,194
1168,Ches Bonnell,Australia,Peanut Butter Cubes,4/30/2021,"$3,031 ",263,127
1169,Barr Faughny,Australia,Smooth Sliky Salty,4/30/2021,"$10,990 ",152,785
1170,Andria Kimpton,New Zealand,Fruit & Nut Bars,4/30/2021,"$1,078 ",470,72
1171,Andria Kimpton,Canada,White Choc,4/30/2021,"$8,218 ",114,822
1172,Jehu Rudeforth,USA,Baker's Choco Chips,4/30/2021,"$10,381 ",16,944
1173,Gunar Cockshoot,Australia,Milk Bars,4/30/2021,"$1,085 ",196,41
1174,Gunar Cockshoot,Australia,Baker's Choco Chips,4/30/2021,"$3,052 ",22,191
1175,Brien Boise,Australia,Milk Bars,5/3/2021,"$4,214 ",148,151
1176,Husein Augar,Australia,70% Dark Bites,5/3/2021,"$3,178 ",42,245
1177,Jan Morforth,Australia,70% Dark Bites,5/3/2021,"$3,066 ",194,384
1178,Beverie Moffet,India,Fruit & Nut Bars,5/3/2021,"$9,485 ",99,949
1179,Karlen McCaffrey,Canada,Raspberry Choco,5/3/2021,"$3,955 ",2,264
1180,Roddy Speechley,UK,Almond Choco,5/3/2021,"$6,538 ",69,312
1181,Kaine Padly,New Zealand,Milk Bars,5/3/2021,"$10,178 ",9,329
1182,Madelene Upcott,USA,Caramel Stuffed Bars,5/3/2021,"$7,882 ",197,359
1183,Curtice Advani,Australia,Mint Chip Choco,5/3/2021,"$5,943 ",285,372
1184,Curtice Advani,UK,50% Dark Bites,5/3/2021,"$4,088 ",319,256
1185,Kaine Padly,India,Spicy Special Slims,5/3/2021,$749 ,266,28
1186,Van Tuxwell,India,Milk Bars,5/3/2021,"$13,958 ",185,451
1187,Kaine Padly,India,Almond Choco,5/3/2021,"$5,901 ",385,296
1188,Camilla Castle,New Zealand,50% Dark Bites,5/3/2021,"$6,342 ",64,793
1189,Kelci Walkden,USA,White Choc,5/3/2021,$315 ,335,19
1190,Gunar Cockshoot,Canada,Baker's Choco Chips,5/3/2021,$147 ,84,14
1191,Kelci Walkden,USA,After Nines,5/3/2021,"$10,213 ",217,365
1192,Beverie Moffet,USA,85% Dark Bars,5/3/2021,"$8,484 ",398,386
1193,Kaine Padly,Canada,Eclairs,5/3/2021,$532 ,78,26
1194,Madelene Upcott,UK,Raspberry Choco,5/3/2021,"$8,785 ",155,550
1195,Gigi Bohling,India,Smooth Sliky Salty,5/3/2021,"$8,001 ",203,572
1196,Mallorie Waber,India,Orange Choco,5/3/2021,$364 ,234,37
1197,Dennison Crosswaite,India,Fruit & Nut Bars,5/3/2021,"$2,331 ",158,138
1198,Beverie Moffet,USA,50% Dark Bites,5/3/2021,"$7,665 ",93,480
1199,Roddy Speechley,Australia,Smooth Sliky Salty,5/3/2021,"$2,905 ",341,224
1200,Roddy Speechley,UK,85% Dark Bars,5/3/2021,"$6,230 ",426,260
1201,Dennison Crosswaite,New Zealand,50% Dark Bites,5/3/2021,"$2,758 ",51,345
1202,Barr Faughny,India,70% Dark Bites,5/3/2021,"$2,352 ",136,181
1203,Dennison Crosswaite,UK,Organic Choco Syrup,5/3/2021,"$2,779 ",53,93
